WINDOW_TITLE#0,"""""""¿Que?"""""""
RECYCLESHOP_JIG_TITLE1#0,"""""""Tienda de intercambio: emblemas"""""""
QC_STORY_EP5#0,"""""""Director de mision EP5"""""""
QC_OMNIBUS#0,"""""""Misiones Omnibus [Ep. 1-3]"""""""
QC_OMNIBUS_EP1#0,"""""""EPISODIO 1"""""""
QC_OMNIBUS_EP2#0,"""""""EPISODIO 2"""""""
QC_OMNIBUS_EP3#0,"""""""EPISODIO 3"""""""
RECYCLESHOP_JIG_TITLE01#0,"""""""Actualizacion de la serie Cleasis <pict Fresh>"""""""
RECYCLESHOP_JIG_TITLE02#0,"""""""Actualizacion de equipos"""""""
RECYCLESHOP_JIG_TITLE03#0,"""""""Obtener otros objetos"""""""
RECYCLESHOP_JIG_TITLE04#0,"""""""Actualizacion de la serie Val"""""""
RECYCLESHOP_JIG_TITLE05#0,"""""""Actualizacion de la serie Nemesis"""""""
RECYCLESHOP_JIG_TITLE06#0,"""""""Actualizacion de la serie Raven"""""""
RECYCLESHOP_JIG_TITLE07#0,"""""""Cambiar la categoria del arma de la serie Atlas <pict Fresh>"""""""
BEGINNER_GUIDE#0,"""""""Manual ARCAS"""""""
SCQ_ITEMSHOP_TITTLE#0,"""""""Tienda de articulos"""""""
TICKETSHOP_ES_TITTLE01#0,"""""""TIENDA DE INTERCAMBIO POR TIEMPO LIMITADO (~10 de octubre de 2018, 11:00)"""""""
TICKETSHOP_ES_TITTLE03#0,"""""""TIENDA DE INTERCAMBIO POR TIEMPO LIMITADO (~4 de septiembre de 2019, 11:00)"""""""
TICKETSHOP_ES_TITTLE04#0,"""""""TIENDA DE INTERCAMBIO POR TIEMPO LIMITADO (~2 de octubre de 2019 11:00)"""""""
TICKETSHOP_ES_TITTLE02#0,"""""""TIENDA DE INTERCAMBIO POR TIEMPO LIMITADO (~15 de mayo de 2019, 11:00)"""""""
TICKETSHOP_ES_TITTLE05#0,"""""""TIENDA DE INTERCAMBIO POR TIEMPO LIMITADO (~13 de mayo de 2020, 11:00)"""""""
TICKETSHOP_ES_TITTLE06#0,"""""""TIENDA DE INTERCAMBIO POR TIEMPO LIMITADO (~28 de octubre de 2020, 11:00)"""""""
TICKETSHOP_ES_TITTLE07#0,"""""""TIENDA DE INTERCAMBIO POR TIEMPO LIMITADO (~12 de mayo de 2021 11:00)"""""""
RECYCLESHOP_JIG_TITLE08#0,"""""""Usar Conqueror's Crest para obtener armas 14★"""""""
RECYCLESHOP_JIG_TITLE09#0,"""""""Obtener Serie Invadir"""""""
RECYCLESHOP_JIG_TITLE10#0,"""""""Obtener Armas"""""""
RECYCLESHOP_JIG_TITLE11#0,"""""""Actualizar Serie Sobrenatural"""""""
RECYCLESHOP_JIG_TITLE12#0,"""""""Actualizacion de la serie Jutus"""""""
RECYCLESHOP_JIG_TITLE13#0,"""""""Actualizar la serie Homura"""""""
RECYCLESHOP_JIG_TITLE14#0,"""""""Usar King's Crest para obtener armas 14★"""""""
RECYCLESHOP_JIG_TITLE15#0,"""""""Cambiar en la categoria Ares Series"""""""
RECYCLESHOP_JIG_TITLE16#0,"""""""Actualizar Serie Ceres"""""""
RECYCLESHOP_JIG_TITLE17#0,"""""""Obtener Armas ★15"""""""
RECYCLESHOP_JIG_TITLE18#0,"""""""Actualizar Serie Profunda Xion"""""""
RECYCLESHOP_JIG_TITLE19#0,"""""""Obtener Armas"""""""
RECYCLESHOP_JIG_TITLE20#0,"""""""Cambiar la categoria de armas"""""""
RECYCLESHOP_JIG_TITLE21#0,"""""""Obtener Serie Profunda Xion"""""""
RECYCLESHOP_JIG_TITLE22#0,"""""""Usar Hero's Crest para obtener armas ★14<pict Fresh>"""""""
RECYCLESHOP_JIG_TITLE23#0,"""""""Actualizacion de la Serie Evelida<pict Fresh>"""""""
RECYCLESHOP_JIG_TITLE24#0,"""""""Intercambios de Crestas"""""""
RECYCLESHOP_JIG_TITLE25#0,"""""""Intercambiar armas"""""""
RECYCLESHOP_JIG_TITLE26#0,"""""""Intercambiar armas a distancia"""""""
RECYCLESHOP_JIG_TITLE27#0,"""""""Tecnica de intercambiar armas"""""""
RECYCLESHOP_JIG_TITLE28#0,"""""""Intercambiar Unidades"""""""
RECYCLESHOP_JIG_TITLE29#0,"""""""Intercambios Avanzados"""""""
RECYCLESHOP_JIG_TITLE30#0,"""""""Intercambios Especiales"""""""
RECYCLESHOP_REO_TITLE01#0,"""""""Usar Leontina's Certificate A para obtener armas 13★"""""""
RECYCLESHOP_REO_TITLE02#0,"""""""Usar el Certificado B de Leontina para obtener armas 14★"""""""
TICHETSHOP_SEA_TITLE01#0,"""""""TIENDA DE INTERCAMBIO DEL 6º ANIVERSARIO 1 (~11 de julio de 2018 11:00)"""""""
TICHETSHOP_SEA_TITLE02#0,"""""""TIENDA DE INTERCAMBIO DEL 6º ANIVERSARIO 2 (~25 de julio de 2018 11:00)"""""""
TICHETSHOP_SEA_TITLE03#0,"""""""TIENDA DE INTERCAMBIO DEL 6º ANIVERSARIO 1 (~1 de agosto de 2018 11:00)"""""""
TICHETSHOP_SEA_TITLE04#0,"""""""TIENDA DE INTERCAMBIO DEL 6º ANIVERSARIO 2 (~8 de agosto de 2018 11:00)"""""""
TICHETSHOP_SEA_TITLE05#0,"""""""Tienda de intercambio de la serie Homura (~8 de agosto de 2018 11:00)"""""""
TICHETSHOP_SEA_TITLE06#0,"""""""FESTIVAL DE AЙO NUEVO 2019 TIENDA DE INTERCAMBIO 1 (~23 de enero de 2019 11:00)"""""""
TICHETSHOP_SEA_TITLE07#0,"""""""Tienda de intercambio del Festival de Aйo Nuevo 2019 - Segunda mitad (~6 de febrero de 2019, 11:00)"""""""
TICHETSHOP_SEA_TITLE08#0,"""""""Tienda de intercambio serie Omega DF (~6 de marzo de 2019, 11:00)"""""""
TICHETSHOP_SEA_TITLE09#0,"""""""FESTIVAL DE AЙO NUEVO 2019 TIENDA DE INTERCAMBIO 2 (~20 de febrero de 2019 11:00)"""""""
TICHETSHOP_SEA_TITLE10#0,"""""""Tienda de Intercambio Festival de Aйo Nuevo 2019 - Segunda mitad (hasta el 6 de marzo de 2019 a las 11:00)"""""""
TICHETSHOP_SEA_TITLE13#0,"""""""Tienda de reciclaje de aire acondicionado limitada (~21 de agosto de 2019 11:00)"""""""
TICHETSHOP_SEA_TITLE14#0,"""""""Tienda de intercambio de insignias del 7.º aniversario: primera mitad (hasta el 24 de julio de 2019 a las 11:00)"""""""
TICHETSHOP_SEA_TITLE15#0,"""""""Confirmacion del panel vinculado a la web"""""""
TICHETSHOP_SEA_TITLE21#0,"""""""Tienda de intercambio de insignias del 7.° aniversario: segunda mitad (~7 de agosto de 2019, 11:00)"""""""
TICHETSHOP_SEA_TITLE24#0,"""""""Tienda de intercambio de insignias del 7.° aniversario (~21 de agosto de 2019, 11:00)"""""""
TICHETSHOP_SEA_TITLE22#0,"""""""Consigue un billete de intercambio de series novedosas con la insignia del 7.º aniversario"""""""
TICHETSHOP_SEA_TITLE23#0,"""""""Tienda de intercambio de series de novelas (~ 21 de agosto de 2019 11:00)"""""""
TICHETSHOP_SEA_TITLE16#0,"""""""Ver recompensas de puntos individuales"""""""
TICHETSHOP_SEA_TITLE17#0,"""""""Confirmar recompensas de clasificacion de puntos"""""""
TICHETSHOP_SEA_TITLE18#0,"""""""Clasificacion de puntos"""""""
TICHETSHOP_SEA_TITLE19#0,"""""""Confirmar clasificacion (1/2)"""""""
TICHETSHOP_SEA_TITLE20#0,"""""""Confirmar clasificacion (2/2)"""""""
TICHETSHOP_SEA_TITLE25#0,"""""""Menu de enlace web"""""""
TICHETSHOP_SEA_TITLE26#0,"""""""Tienda de intercambio de insignias de ARMAS 2020"""""""
TICHETSHOP_SEA_TITLE27#0,"""""""Tienda de intercambio limitado del Festival de Aйo Nuevo 2020 (hasta las 11:00 a. m. del 5 de febrero de 2020))"""""""
TICHETSHOP_COLLABO_TITTLE01#0,"""""""Tienda Huntstone Exchange (hasta las 11:00 a. m. del 5 de diciembre de 2018))"""""""
TICHETSHOP_COLLABO_TITTLE02#0,"""""""Tienda de intercambio de la serie Ceres (hasta las 11:00 a. m. del 5 de diciembre de 2018))"""""""
QC_STORY_EP6#0,"""""""Misiones de historia"""""""
EP6_CHANGE_SIERRA#0,"""""""Cambiar episodio"""""""
MEDALSHOP_TITLE01_V60501#0,"""""""Intercambio de Medallas de Cobalto por articulos limitados"""""""
TICHETSHOP_SEA_TITLE28#0,"""""""Tienda de intercambio de insignias del octavo aniversario (hasta las 11:00 a. m. del 5 de agosto de 2020)"""""""
TICHETSHOP_SEA_TITLE31#0,"""""""2021 Tienda de intercambio de insignias de armas (Hasta las 11:00 a. m. del 31 de marzo de 2020)"""""""
TICHETSHOP_SEA_TITLE32#0,"""""""Intercambio de insignias 2021 ARMAS por armas, materiales y elementos de herramientas."""""""
TICHETSHOP_SEA_TITLE33#0,"""""""Intercambio de insignias 2021 ARMAS por Emotes"""""""
TICHETSHOP_SEA_TITLE34#0,"""""""Intercambio de insignias 2021 ARMAS por Conjuntos, Accesorios y Dispositivos Mag Evolution"""""""
TICHETSHOP_SEA_TITLE35#0,"""""""Intercambio de insignias 2021 ARMAS por Arma Camo"""""""
00_01#0,"""""""Opcion 1"""""""
00_02#0,"""""""Opcion 2"""""""
TALK_ST#0,"""""""hablar"""""""
C_ORDER_ST#0,"""""""Escuchar los detalles"""""""
