11_voice_NPC_5313_104#0,"""¡Ah, <%yo>! <br>…… ¿Eh? \u3000Cultivar bien a los recien llegados<br>¿Quieres saber como enseйar?"""
st01_030#3,"""Pero lo mas importante era que estaba demasiado acostumbrado a luchar contra Darker. <br>Tus preferencias son muy diferentes, ¿no?"""
st01_040#0,"""Bueno, parece que esos lentes insidiosos estan aprovechando al maximo su astucia y recopilando informacion proactiva."""
st01_010#1,"""Parece que esta vez la intrusion se sintio como si se hubieran aprovechado de ellos."""
st01_020#6,"""Esos lentes siniestros tambien nublaron su expresion."""
st01_030#4,"""Bueno, al momento siguiente estoy trabajando en el procedimiento de aplicacion para eliminar el limitador y formular el manejo de excepciones, asi que no lo siento."""
11_voice_NPC_5313_102#0,"""Se siente como si una especie de fantasia que imitara a Darker preferiria imitarlo al que a <br>."""
st01_020#7,"""Si dices que tomo el poder del Dark False, no puedo evitar entender...<br>...Dark False, ¿eh?"""
st01_030#5,"""...Es realmente dificil creer que Al-kun fuera Dark Falz."""
st01_010#2,"""Gunnu... ¡Lider del Guia de la Tierra! <br>Es tan bueno como cualquier comandante de una oficina de inteligencia<br>¡Era un hombre negro!"""
11_voice_NPC_5313_102#1,"""Ahora que el asunto esta resuelto,<br>Pense que podria mostrarles mi nueva cancion, pero supongo que la pospondre por un tiempo."""
st01_030#6,"""No puedo dejarlo asi. <br>Esto tambien es un problema para la Tierra, pero ARCS tambien esta involucrado."""
11_voice_NPC_5313_104#3,"""¿Como estuvo mi vida? <br>Trabaje duro para crear una nueva cancion para todos."""
st01_020#8,"""Debido a este incidente, los Arks aprendimos muchas cosas y tambien hicimos nuevos amigos."""
11_voice_NPC_5313_100#7,"""Esta es una cancion en la que puse todos mis pensamientos en esta cancion. <br>Espero que todos esten felices."""
sq00_010#0,"""Para esta mision, me quedare en casa. <br>O mejor dicho, no soy el mas adecuado para tacticas de distraccion."""
11_voice_NPC_5313_100#8,"""Como no puedo participar, ¡hare todo lo posible para inspirar a todos!"""
sq01_010#0,"""¡Bienvenido de nuevo! \u3000Estoy en el departamento de inteligencia, asi que recibi todos los informes sobre tu situacion, asi que no estaba preocupado."""
sq01_020#0,"""...Bueno, supongo que es un poco mentira decir que no estaba preocupado. No estaba de humor para actuar en vivo."""
11_voice_NPC_5313_101#1,"""¡Pero desde que volviste asi, recargue mi energia! \u3000Mata Dokan<br>¡Quizas debemos hacer un live de guerrilla!"""
11_voice_NPC_5313_104#4,"""¿Es esta la calma antes de la tormenta?...<br>Sinceramente no puedo evitar esta sensacion..."""
sq02_020#0,"""Sin embargo todo salio bien Xiao<br>les notificara a todos ¿Verdad? Aun asi, lo que dira aun esta bajo investigacion..."""
sq02_030#0,"""Y por que aun estoy ansiosa<br>tengo muchas ganas de tiempo pasar investigando ¿Que tal?...\u3000 ¿Estas de acuerdo?"""
sq13_010#0,"""...Ahora el departamento de informacion<br>esta muy ocupado, estoy buscando en los registros informacion sobre la ultima diosa"""
sq13_020#0,"""No espero lograr mucho, Luther se fue a<br>vopar y los registros restantes se estan limpiando de nuevo."""
sq13_030#0,"""Esperamos encontrar alguna pista<br>que ayude a derrotarla..."""
ep6_sq00_01#0,"""De alguna manera, con todos los esfuerzos del departamento de inteligencia,<br>investigamos todos los registros anteriores, pero<br>no pudimos encontrar nada que pudiera conducir a contramedidas..."""
ep6_sq00_02#0,"""Probablemente sea una fotografia, pero eso no suele explicar sus poderes inusuales..."""
11_voice_NPC_5313_108#0,"""Esos lentes insidiosos decian... <br>Nunca pense que podria haber personas ocultando informacion a las personas que conocieron a Shiva."""
ep6_sq01_01#0,"""La unica esperanza que queda es Amduskia...<br>Si hay algo que solo Shao y la tribu del dragon pueden saber, es..."""
ep6_sq01_02#0,"""Nunca pense que algo como un motor vacio funcionaria <br>ni siquiera en la era Photoner... En cualquier caso, <br>tengo que ir a comprobarlo pronto."""
ep6_sq02_01#0,"""¡Ah, gracias por tu arduo trabajo! <br>Gracias a ti, las cosas salieron bien de alguna manera."""
ep6_sq02_02#0,"""No podria haberlo predicho debido al giro inesperado de los acontecimientos, pero<br>¡Bien esta lo que bien acaba!"""
11_voice_NPC_5313_100#9,"""Sin embargo, lo real esta por comenzar. <br>Pero la moral de todos tambien esta alta, asi que <br>¡estoy seguro de que todo estara bien! \u3000¡Haz lo mejor que puedas!"""
11_voice_NPC_5313_106#0,"""¡Ah, <%yo>! <br>Escuche que estabas herido.<br>¿Estas bien?"""
ep6_sq03_02_01_02#0,"""Solo porque eres un Guardian Guardian<br>No eres inmortal, asi que no hagas nada imprudente, ¿verdad?"""
11_voice_NPC_5313_108#1,"""Bueno, incluso si digo eso,<br>Se que no estas siendo razonable, pero...<br>Cuando puedas tomar un descanso, ¡tomate un descanso!"""
ep6_sq04_01_01#0,"""Estoy escuchando. <br>Dijeron que encontraron una pista que podria derrotar a Shiva."""
ep6_sq04_01_02#0,"""Ahora llega el verdadero momento critico. <br>Pero si todos hacemos nuestro mejor esfuerzo como siempre lo hemos hecho<br>¡definitivamente lo haremos bien!"""
11_voice_NPC_5313_101#2,"""¡Ahora! \u3000¡Supongamos que yo tambien voy<br>a animar a todos con una cancion!"""
11_voice_NPC_5313_100#10,"""Parece que funciono esta vez. <br>¡Gracias por su arduo trabajo! \u3000Finalmente puedes llegar a Shiva<br>."""
ep6_sq05_2#0,"""Por supuesto, no puedo bajar la guardia. <br>Pero cuando solo quedaba un Fotonner,<br>finalmente vi la luz."""
ep6_sq05_3#0,"""¡Siento que el climax se acerca! <br>Por eso debes tener cuidado. ¡El escenario tambien es el mas peligroso cuando se pone emocionante!"""
text01#0,"""Una batalla decisiva que moviliza todas tus fuerzas...<br>¡Lo unico que queda por hacer es luchar lo mas duro que puedas!"""
text02#0,"""Cuando todo termine, creo que hare otro show en vivo...<br>¡A mayor escala que nunca!"""
11_voice_NPC_5313_100#11,"""¡Definitivamente disfrutaremos juntos del show en vivo! <br>¡Asi que trabajamos juntos un poco mas!"""
11_voice_NPC_5313_101#3,"""¡Ah, <%yo>! <br>¡Bienvenido de nuevo! \u3000¡Gracias por salvar Arks!"""
text02#1,"""Crei en ti, pero<br>despues de todo estaba preocupado, ¿verdad? <br>¡Me alegra que estes a salva!"""
text03#0,"""Bien, entonces<br>¡Tenemos que celebrar la victoria en vivo! <br>¡Definitivamente debes venir a verlo!"""
