11_voice_NPC_5242_101#0,"""Oh, mi amig@!<br>¡Justo a tiempo!"""
skit04_03#0,"""¡Tu amado hijo nacera de ese huevo! \u3000¡Despues de eso es facil! <br>¡Simplemente vierte todo el amor que tienes!"""
skit04_04#0,"""¡Que tengas una buena vida de invocador! <br>Si tienes algun problema, siempre puedes acudir a mi para pedirme consejo.<br>¡No me importa!"""
Title#0,"""Acerca de “Invocador”"""
text01#0,"""Summoner es una clase que usa 'mascotas' y usa 'tacto' para dar ordenes en la batalla. <br><br>Se pueden utilizar tecnicas y tambien es posible ayudar en la batalla. <br><br>Dado que puedes atacar desde la distancia, puedes participar en la batalla con un riesgo relativamente bajo."""
Title#1,"""Acerca de “Mascotas”"""
text01#1,"""Las mascotas pueden mejorar sus habilidades y PA mediante la sintesis de huevos y dulces. <br><br>Al registrar varias mascotas con anticipacion y llamarlas mientras cambias, puedes continuar en la batalla de manera mas efectiva."""
text02#0,"""・Registro de mascotas<br>Puede registrar nuevas mascotas al <yellow>\''Usar\''<c> un objeto \''Egg\''.<br><br>Para configurar una mascota en su paleta de armas,<br>use el menu de equipo y equipe un arma \''Takt\'',<br>luego de izquierda a derecha, coloque a su mascota<br>en el siguiente orden:<br><br> ・<yellow> Mascota favorita (de su lista de mascotas)<c><br> ・PA correspondiente de la mascota (tecnicas)<br><br>Al usar una mascota, su presencia Mag se ocultara<br>pero todos los efectos se aplicaran como de costumbre."""
11_voice_NPC_5242_100#3,"""Ah... que hermoso<br>Mis queridos hijos...<br>No puedo ver nada mas que a ustedes..."""
st01_020#0,"""El contacto excesivo tambien es adorable. <br>Las cicatrices grabadas en mi son prueba de amor."""
11_voice_NPC_5242_100#4,"""La felicidad de tener niйos en brazos...<br>¡Esa es la clase llamada Summoner!"""
st01_020#1,"""La alegria de luchar junto a tus amados hijos<br>¡Quiero que la experimentes!"""
11_voice_NPC_5242_100#5,"""Cada niйo tiene sus propias caracteristicas distintivas. <br>Existen varios tipos, como los adecuados para golpear y los adecuados para ataques legales."""
st01_020#2,"""¿Que niйo es mejor? ¡No existe tal cosa! <br>Todos son igualmente hermosos y encantadores."""
11_voice_NPC_5242_100#6,"""Parece que hay algunos Arks inocentes que piensan que el tacto del invocador es un arma, pero eso no es cierto."""
st01_020#3,"""El tacto es una forma de conectar a los niйos y los invocadores, permitiendoles comunicarse entre si."""
st01_030#0,"""Esta diseйado para permitir una comunicacion estrecha incluso durante la batalla."""
11_voice_NPC_5242_100#7,"""¡Mis hijos me quieren mucho!"""
st01_020#4,"""No importa que accion tomes, ¡la aceptare con todas mis fuerzas!"""
st01_010#0,"""Los niйos no son herramientas. <br>A veces terminas haciendo algo que no esperabas."""
st01_020#5,"""Sin embargo, hay ocasiones en las que hacen cosas que superan sus expectativas."""
st01_030#1,"""Las caras de mis hijos que no conozco. <br>La alegria de ver eso es algo que no puede ser reemplazado por nada."""
11_voice_NPC_5242_102#0,"""¡Las armas encarnadas son como niйos para los terricolas! <br>¡No hay manera de que puedas doblar eso!"""
st01_020#6,"""Mucho, mucho, mucho<br>¡Debe ser doloroso! <br>¡Tanto el como sus hijos!"""
11_voice_NPC_5242_100#8,"""Mas alla del dolor, las dificultades y el sufrimiento, ¡hay nueva fuerza y ​​nueva brillantez! <br>¡Las armas materializadas tambien son las mismas!"""
st01_020#7,"""¡Por supuesto, lo mismo ocurre con los invocadores! <br>¡Por eso acepto el dolor y el sufrimiento de mis amados hijos!"""
11_voice_NPC_5242_108#0,"""El lider de los Guias de la Tierra...<br>Es una existencia triste. <br>No podia creerlo, amigo."""
st01_020#8,"""Mientras tengas amor incondicional y el coraje de velar por el, la mayoria de las cosas se pueden hacer..."""
st01_030#2,"""Si, con mis amados hijos<br>¡Igual que yo! <br>¡Lo entiendo, amigo!"""
11_voice_NPC_5242_100#9,"""¡Mi amigo! \u3000¡Siempre he estado en deuda contigo! <br>¡Mis hijos y yo tambien haremos todo lo posible para cooperar!"""
11_voice_NPC_5242_101#2,"""¡Ah, amigo mio! \u3000¡Bienvenido de nuevo! <br>¡Mis hijos tambien estan felices!"""
sq01_020#0,"""O mejor dicho, cuando mis amigos no estaban, supongo que ellos tambien se sentian solos y sus expresiones de amor eran intensas. \u3000¡Me alegro mucho que estes a salvo!"""
sq02_010#0,"""Mi querid@ amig@!<br>¡A diferencia de los demas, parece estar muy ocupad@!"""
11_voice_NPC_5242_100#10,"""¡Mis hijos también están preocupados por ti!<br>Puede ser muy importante lo que estas haciendo<br>¡Pero no te esfuerces demasiado!"""
11_voice_NPC_5242_100#11,"""¡Oye mi amigo! <br>¡Esto va a ser un gran problema!"""
sq13_020#0,"""¡La venganza no es una palabra amable! <br>¿Que diablos puedes hacer para ser feliz con esa mentalidad?"""
sq13_030#0,"""Aunque deberia contagiar felicidad a los demas por mucho que yo haya sufrido...<br>¡Mis hijos tambien estan de duelo!"""
11_voice_NPC_5242_102#1,"""Una amenaza desconocida que alimenta la ansiedad...<br>¡Esta nublando el rostro de todos y haciendonos suspirar a todos!"""
ep6_sq00_02#0,"""¡Incluso en momentos como estos, mi amigo esta tranquilo! <br>Si, tener miedo no es suficiente. <br>¡Lo que puedes ver se vuelve invisible!"""
ep6_sq00_03#0,"""¡Tambien trato de darles a mis hijos mas amor del habitual para que no se pongan ansiosos!"""
ep6_sq01_01#0,"""Ah, esto paso, pero<br>¡Me alegra que estes a salvo, amigo mio...! <br>Mis amados hijos tambien lloraban de preocupacion."""
ep6_sq01_02#0,"""Incluso si dejara que mi ira y mi odio siguieran destruyendome, nunca estaria satisfecho..."""
11_voice_NPC_5242_108#1,"""...Si mi amor incondicional por mis hijos hubiera sido perdonado por mi novia durante mis dias en Fotona, las cosas podrian haber sido diferentes."""
11_voice_NPC_5242_100#12,"""Aunque la situacion era desesperada, sus esfuerzos devolvieron las sonrisas a nuestros queridos niйos."""
ep6_sq02_02#0,"""¡Gracias amigo mio! <br>No podia dormir por la noche porque estaba preocupada por mis hijos, pero ahora me siento aliviada."""
11_voice_NPC_5242_100#13,"""Hola mi amigo. <br>¡Los dias van a estar bastante ocupados!"""
ep6_sq02_01_02#0,"""¡Pero estoy bien! <br>Porque puedo ver a mis amados hijos trabajando duro en sus deberes."""
ep6_sq02_01_03#0,"""Solo ver a los niйos trabajar duro hace que todo mi cansancio desaparezca. <br>¿No es asi?"""
ep6_sq04_01_01#0,"""¡ah! \u3000Mis amados hijos<br>¡Todos ellos estan llenos de individualidad y todos son adorables!"""
ep6_sq04_01_02#0,"""Para mi, los dias que paso viendo a cada niйo trabajar duro y crecer son un tesoro irremplazable."""
11_voice_NPC_5242_101#3,"""Para proteger este tesoro...<br>¡Continuare derramando amor desbordante en mis hijos cada minuto y segundo!"""
text01#2,"""¡Parece que la fase final finalmente esta aqui! <br>¡Un esfuerzo mas!"""
11_voice_NPC_5242_100#14,"""Ahora que estamos aqui, los rostros de los niйos lucen mas dignos. <br>Parece que estas decidido, ¡asi que soy confiable!"""
text03#0,"""¡Ahora, creemos todos un mundo pacifico y lleno de amor!"""
text01#3,"""¡Amigo mio, regresaste sano y salvo! <br>¡Mis hijos tambien estan felices!"""
text02#1,"""Ahora que se ha roto la cadena de la tristeza, ¡todos se daran cuenta de la importancia de darse amor unos a otros!"""
11_voice_NPC_5242_101#4,"""Despues de pasar por tanto dolor y sufrimiento, finalmente ha llegado la paz... ¡Seguire derramando mi amor en mis hijos cada minuto y segundo de cada dia!"""
